Location,Date,Temperature (°C),Feels Like (°C),Humidity (%),Weather Condition
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,4/6/2024 5:30,19,19,100,Partly cloudy
Sydney,,19,19,100,Partly cloudy
